indice,nome_instancia,num_da_exec,num_tarefas,num_maquinas,matriz_tempos,solucao,makespan,tempo
0,car1,0,11,5,"[[375, 12, 142, 245, 412], [632, 452, 758, 278, 398], [12, 876, 124, 534, 765], [460, 542, 523, 120, 499], [528, 101, 789, 124, 999], [796, 245, 632, 375, 123], [532, 230, 543, 896, 452], [14, 124, 214, 543, 785], [257, 527, 753, 210, 463], [896, 896, 214, 258, 259], [532, 302, 501, 765, 988]]","[7, 0, 2, 4, 1, 3, 10, 6, 5, 8, 9]",7038.0,304.238134405
0,car1,1,11,5,"[[375, 12, 142, 245, 412], [632, 452, 758, 278, 398], [12, 876, 124, 534, 765], [460, 542, 523, 120, 499], [528, 101, 789, 124, 999], [796, 245, 632, 375, 123], [532, 230, 543, 896, 452], [14, 124, 214, 543, 785], [257, 527, 753, 210, 463], [896, 896, 214, 258, 259], [532, 302, 501, 765, 988]]","[7, 0, 2, 4, 1, 3, 10, 6, 5, 8, 9]",7038.0,305.069686539
0,car1,2,11,5,"[[375, 12, 142, 245, 412], [632, 452, 758, 278, 398], [12, 876, 124, 534, 765], [460, 542, 523, 120, 499], [528, 101, 789, 124, 999], [796, 245, 632, 375, 123], [532, 230, 543, 896, 452], [14, 124, 214, 543, 785], [257, 527, 753, 210, 463], [896, 896, 214, 258, 259], [532, 302, 501, 765, 988]]","[7, 0, 2, 4, 1, 3, 10, 6, 5, 8, 9]",7038.0,305.27347370100006
0,car1,3,11,5,"[[375, 12, 142, 245, 412], [632, 452, 758, 278, 398], [12, 876, 124, 534, 765], [460, 542, 523, 120, 499], [528, 101, 789, 124, 999], [796, 245, 632, 375, 123], [532, 230, 543, 896, 452], [14, 124, 214, 543, 785], [257, 527, 753, 210, 463], [896, 896, 214, 258, 259], [532, 302, 501, 765, 988]]","[7, 0, 2, 4, 1, 3, 10, 6, 5, 8, 9]",7038.0,302.34252722299993
0,car1,4,11,5,"[[375, 12, 142, 245, 412], [632, 452, 758, 278, 398], [12, 876, 124, 534, 765], [460, 542, 523, 120, 499], [528, 101, 789, 124, 999], [796, 245, 632, 375, 123], [532, 230, 543, 896, 452], [14, 124, 214, 543, 785], [257, 527, 753, 210, 463], [896, 896, 214, 258, 259], [532, 302, 501, 765, 988]]","[7, 0, 2, 4, 1, 3, 10, 6, 5, 8, 9]",7038.0,302.11189500599994
4,car5,0,10,6,"[[333, 991, 996, 123, 145, 234], [333, 111, 663, 456, 785, 532], [252, 222, 222, 789, 214, 586], [222, 204, 114, 876, 752, 532], [255, 477, 123, 543, 143, 142], [555, 566, 456, 210, 698, 573], [558, 899, 789, 124, 532, 12], [888, 965, 876, 537, 145, 14], [889, 588, 543, 854, 247, 527], [999, 889, 210, 632, 451, 856]]","[3, 4, 1, 0, 2, 7, 5, 9, 8, 6]",7720.0,38.29605792899997
4,car5,1,10,6,"[[333, 991, 996, 123, 145, 234], [333, 111, 663, 456, 785, 532], [252, 222, 222, 789, 214, 586], [222, 204, 114, 876, 752, 532], [255, 477, 123, 543, 143, 142], [555, 566, 456, 210, 698, 573], [558, 899, 789, 124, 532, 12], [888, 965, 876, 537, 145, 14], [889, 588, 543, 854, 247, 527], [999, 889, 210, 632, 451, 856]]","[3, 4, 1, 0, 2, 7, 5, 9, 8, 6]",7720.0,38.43665176599984
4,car5,2,10,6,"[[333, 991, 996, 123, 145, 234], [333, 111, 663, 456, 785, 532], [252, 222, 222, 789, 214, 586], [222, 204, 114, 876, 752, 532], [255, 477, 123, 543, 143, 142], [555, 566, 456, 210, 698, 573], [558, 899, 789, 124, 532, 12], [888, 965, 876, 537, 145, 14], [889, 588, 543, 854, 247, 527], [999, 889, 210, 632, 451, 856]]","[3, 4, 1, 0, 2, 7, 5, 9, 8, 6]",7720.0,38.57151359800014
4,car5,3,10,6,"[[333, 991, 996, 123, 145, 234], [333, 111, 663, 456, 785, 532], [252, 222, 222, 789, 214, 586], [222, 204, 114, 876, 752, 532], [255, 477, 123, 543, 143, 142], [555, 566, 456, 210, 698, 573], [558, 899, 789, 124, 532, 12], [888, 965, 876, 537, 145, 14], [889, 588, 543, 854, 247, 527], [999, 889, 210, 632, 451, 856]]","[3, 4, 1, 0, 2, 7, 5, 9, 8, 6]",7720.0,38.233988714000134
4,car5,4,10,6,"[[333, 991, 996, 123, 145, 234], [333, 111, 663, 456, 785, 532], [252, 222, 222, 789, 214, 586], [222, 204, 114, 876, 752, 532], [255, 477, 123, 543, 143, 142], [555, 566, 456, 210, 698, 573], [558, 899, 789, 124, 532, 12], [888, 965, 876, 537, 145, 14], [889, 588, 543, 854, 247, 527], [999, 889, 210, 632, 451, 856]]","[3, 4, 1, 0, 2, 7, 5, 9, 8, 6]",7720.0,38.27104601699989
5,car6,0,8,9,"[[887, 447, 234, 159, 201, 555, 463, 456, 753], [799, 779, 567, 267, 478, 444, 123, 789, 21], [999, 999, 852, 483, 520, 120, 456, 630, 427], [666, 666, 140, 753, 145, 142, 789, 258, 520], [663, 25, 222, 420, 699, 578, 876, 741, 142], [333, 558, 558, 159, 875, 965, 543, 36, 534], [222, 886, 965, 25, 633, 412, 210, 985, 157], [114, 541, 412, 863, 222, 25, 123, 214, 896]]","[6, 0, 4, 5, 7, 2, 3, 1]",8505.0,1.1707645220001268
5,car6,1,8,9,"[[887, 447, 234, 159, 201, 555, 463, 456, 753], [799, 779, 567, 267, 478, 444, 123, 789, 21], [999, 999, 852, 483, 520, 120, 456, 630, 427], [666, 666, 140, 753, 145, 142, 789, 258, 520], [663, 25, 222, 420, 699, 578, 876, 741, 142], [333, 558, 558, 159, 875, 965, 543, 36, 534], [222, 886, 965, 25, 633, 412, 210, 985, 157], [114, 541, 412, 863, 222, 25, 123, 214, 896]]","[6, 0, 4, 5, 7, 2, 3, 1]",8505.0,1.154681008000125
5,car6,2,8,9,"[[887, 447, 234, 159, 201, 555, 463, 456, 753], [799, 779, 567, 267, 478, 444, 123, 789, 21], [999, 999, 852, 483, 520, 120, 456, 630, 427], [666, 666, 140, 753, 145, 142, 789, 258, 520], [663, 25, 222, 420, 699, 578, 876, 741, 142], [333, 558, 558, 159, 875, 965, 543, 36, 534], [222, 886, 965, 25, 633, 412, 210, 985, 157], [114, 541, 412, 863, 222, 25, 123, 214, 896]]","[6, 0, 4, 5, 7, 2, 3, 1]",8505.0,1.1522661479998533
5,car6,3,8,9,"[[887, 447, 234, 159, 201, 555, 463, 456, 753], [799, 779, 567, 267, 478, 444, 123, 789, 21], [999, 999, 852, 483, 520, 120, 456, 630, 427], [666, 666, 140, 753, 145, 142, 789, 258, 520], [663, 25, 222, 420, 699, 578, 876, 741, 142], [333, 558, 558, 159, 875, 965, 543, 36, 534], [222, 886, 965, 25, 633, 412, 210, 985, 157], [114, 541, 412, 863, 222, 25, 123, 214, 896]]","[6, 0, 4, 5, 7, 2, 3, 1]",8505.0,1.1553249529999903
5,car6,4,8,9,"[[887, 447, 234, 159, 201, 555, 463, 456, 753], [799, 779, 567, 267, 478, 444, 123, 789, 21], [999, 999, 852, 483, 520, 120, 456, 630, 427], [666, 666, 140, 753, 145, 142, 789, 258, 520], [663, 25, 222, 420, 699, 578, 876, 741, 142], [333, 558, 558, 159, 875, 965, 543, 36, 534], [222, 886, 965, 25, 633, 412, 210, 985, 157], [114, 541, 412, 863, 222, 25, 123, 214, 896]]","[6, 0, 4, 5, 7, 2, 3, 1]",8505.0,1.1733864850000373
6,car7,0,7,7,"[[692, 310, 832, 630, 258, 147, 255], [581, 582, 14, 214, 147, 753, 806], [475, 475, 785, 578, 852, 2, 699], [23, 196, 696, 214, 586, 356, 877], [158, 325, 530, 785, 325, 565, 412], [796, 874, 214, 236, 896, 898, 302], [542, 205, 578, 963, 325, 800, 120]]","[4, 3, 1, 5, 6, 2, 0]",6590.0,0.12302152000006572
6,car7,1,7,7,"[[692, 310, 832, 630, 258, 147, 255], [581, 582, 14, 214, 147, 753, 806], [475, 475, 785, 578, 852, 2, 699], [23, 196, 696, 214, 586, 356, 877], [158, 325, 530, 785, 325, 565, 412], [796, 874, 214, 236, 896, 898, 302], [542, 205, 578, 963, 325, 800, 120]]","[4, 3, 1, 5, 6, 2, 0]",6590.0,0.12267638499997702
6,car7,2,7,7,"[[692, 310, 832, 630, 258, 147, 255], [581, 582, 14, 214, 147, 753, 806], [475, 475, 785, 578, 852, 2, 699], [23, 196, 696, 214, 586, 356, 877], [158, 325, 530, 785, 325, 565, 412], [796, 874, 214, 236, 896, 898, 302], [542, 205, 578, 963, 325, 800, 120]]","[4, 3, 1, 5, 6, 2, 0]",6590.0,0.12272120100010397
6,car7,3,7,7,"[[692, 310, 832, 630, 258, 147, 255], [581, 582, 14, 214, 147, 753, 806], [475, 475, 785, 578, 852, 2, 699], [23, 196, 696, 214, 586, 356, 877], [158, 325, 530, 785, 325, 565, 412], [796, 874, 214, 236, 896, 898, 302], [542, 205, 578, 963, 325, 800, 120]]","[4, 3, 1, 5, 6, 2, 0]",6590.0,0.12270237499978975
6,car7,4,7,7,"[[692, 310, 832, 630, 258, 147, 255], [581, 582, 14, 214, 147, 753, 806], [475, 475, 785, 578, 852, 2, 699], [23, 196, 696, 214, 586, 356, 877], [158, 325, 530, 785, 325, 565, 412], [796, 874, 214, 236, 896, 898, 302], [542, 205, 578, 963, 325, 800, 120]]","[4, 3, 1, 5, 6, 2, 0]",6590.0,0.1226315290000457
7,car8,0,8,8,"[[456, 654, 852, 145, 632, 425, 214, 654], [789, 123, 369, 678, 581, 396, 123, 789], [654, 123, 632, 965, 475, 325, 456, 654], [321, 456, 581, 421, 32, 147, 789, 123], [456, 789, 472, 365, 536, 852, 654, 123], [789, 654, 586, 824, 325, 12, 321, 456], [654, 321, 320, 758, 863, 452, 456, 789], [789, 147, 120, 639, 21, 863, 789, 654]]","[6, 2, 7, 4, 1, 0, 5, 3]",8366.0,1.3820860729999822
7,car8,1,8,8,"[[456, 654, 852, 145, 632, 425, 214, 654], [789, 123, 369, 678, 581, 396, 123, 789], [654, 123, 632, 965, 475, 325, 456, 654], [321, 456, 581, 421, 32, 147, 789, 123], [456, 789, 472, 365, 536, 852, 654, 123], [789, 654, 586, 824, 325, 12, 321, 456], [654, 321, 320, 758, 863, 452, 456, 789], [789, 147, 120, 639, 21, 863, 789, 654]]","[6, 2, 7, 4, 1, 0, 5, 3]",8366.0,1.3891666509998686
7,car8,2,8,8,"[[456, 654, 852, 145, 632, 425, 214, 654], [789, 123, 369, 678, 581, 396, 123, 789], [654, 123, 632, 965, 475, 325, 456, 654], [321, 456, 581, 421, 32, 147, 789, 123], [456, 789, 472, 365, 536, 852, 654, 123], [789, 654, 586, 824, 325, 12, 321, 456], [654, 321, 320, 758, 863, 452, 456, 789], [789, 147, 120, 639, 21, 863, 789, 654]]","[6, 2, 7, 4, 1, 0, 5, 3]",8366.0,1.394950898999923
7,car8,3,8,8,"[[456, 654, 852, 145, 632, 425, 214, 654], [789, 123, 369, 678, 581, 396, 123, 789], [654, 123, 632, 965, 475, 325, 456, 654], [321, 456, 581, 421, 32, 147, 789, 123], [456, 789, 472, 365, 536, 852, 654, 123], [789, 654, 586, 824, 325, 12, 321, 456], [654, 321, 320, 758, 863, 452, 456, 789], [789, 147, 120, 639, 21, 863, 789, 654]]","[6, 2, 7, 4, 1, 0, 5, 3]",8366.0,1.4194987389998914
7,car8,4,8,8,"[[456, 654, 852, 145, 632, 425, 214, 654], [789, 123, 369, 678, 581, 396, 123, 789], [654, 123, 632, 965, 475, 325, 456, 654], [321, 456, 581, 421, 32, 147, 789, 123], [456, 789, 472, 365, 536, 852, 654, 123], [789, 654, 586, 824, 325, 12, 321, 456], [654, 321, 320, 758, 863, 452, 456, 789], [789, 147, 120, 639, 21, 863, 789, 654]]","[6, 2, 7, 4, 1, 0, 5, 3]",8366.0,1.425979118999976
