indice,nome_instancia,num_da_exec,num_tarefas,num_maquinas,makespan,tempo
0,car1,0,11,5,7038.0,304.238134405
0,car1,1,11,5,7038.0,305.069686539
0,car1,2,11,5,7038.0,305.273473701
0,car1,3,11,5,7038.0,302.342527222
0,car1,4,11,5,7038.0,302.111895005
4,car5,0,10,6,7720.0,38.296057928
4,car5,1,10,6,7720.0,38.436651765
4,car5,2,10,6,7720.0,38.571513598
4,car5,3,10,6,7720.0,38.233988714
4,car5,4,10,6,7720.0,38.271046016
5,car6,0,8,9,8505.0,1.170764522
5,car6,1,8,9,8505.0,1.154681008
5,car6,2,8,9,8505.0,1.152266147
5,car6,3,8,9,8505.0,1.155324952
5,car6,4,8,9,8505.0,1.173386485
6,car7,0,7,7,6590.0,0.12302152000
6,car7,1,7,7,6590.0,0.12267638499
6,car7,2,7,7,6590.0,0.12272120100
6,car7,3,7,7,6590.0,0.12270237499
6,car7,4,7,7,6590.0,0.12263152900
7,car8,0,8,8,8366.0,1.382086072
7,car8,1,8,8,8366.0,1.389166650
7,car8,2,8,8,8366.0,1.394950898
7,car8,3,8,8,8366.0,1.419498738
7,car8,4,8,8,8366.0,1.425979118
